Month_Registered,Zip_Code,City,County,Total_EV_Registrations
2020-07-31,21275,Baltimore,Baltimore City,0
2020-07-31,21278,Baltimore,Baltimore City,0
2020-07-31,21279,Baltimore,Baltimore City,0
2020-07-31,21280,Baltimore,Baltimore City,0
2020-07-31,21281,Baltimore,Baltimore City,0
2020-07-31,21282,Baltimore,Baltimore County,0
2020-07-31,21283,Baltimore,Baltimore City,0
2020-07-31,21284,Baltimore,Baltimore County,0
2020-07-31,21285,Baltimore,Baltimore County,0
2020-07-31,21286,Towson,Baltimore County,114
2020-07-31,21287,Baltimore,Baltimore City,0
2020-07-31,21288,Baltimore,Baltimore City,0
2020-07-31,21289,Baltimore,Baltimore City,0
2020-07-31,21290,Baltimore,Baltimore City,0
2020-07-31,21297,Baltimore,Baltimore City,0
2020-07-31,21298,Baltimore,Baltimore City,0
2020-07-31,21401,Annapolis,Anne Arundel County,260
2020-07-31,21402,Annapolis,Anne Arundel County,5
2020-07-31,21403,Annapolis,Anne Arundel County,238
2020-07-31,21404,Annapolis,Anne Arundel County,0
2020-07-31,21405,Annapolis,Anne Arundel County,5
2020-07-31,21409,Annapolis,Anne Arundel County,129
2020-07-31,21411,Annapolis,Anne Arundel County,0
2020-07-31,21412,Annapolis,Anne Arundel County,0
2020-07-31,21501,Cumberland,Allegany County,0
2020-07-31,21502,Cumberland,Allegany County,44
2020-07-31,21503,Cumberland,Allegany County,0
2020-07-31,21504,Cumberland,Allegany County,0
2020-07-31,21505,Cumberland,Allegany County,0
2020-07-31,21520,Accident,Garrett County,1
2020-07-31,21521,Barton,Allegany County,0
2020-07-31,21522,Bittinger,Garrett County,0
2020-07-31,21523,Bloomington,Garrett County,0
2020-07-31,21524,Corriganville,Allegany County,0
2020-07-31,21528,Eckhart Mines,Allegany County,0
2020-07-31,21529,Ellerslie,Allegany County,1
2020-07-31,21530,Flintstone,Allegany County,0
2020-07-31,21531,Friendsville,Garrett County,0
2020-07-31,21532,Frostburg,Allegany County,14
2020-07-31,21536,Grantsville,Garrett County,0
2020-07-31,21538,Kitzmiller,Garrett County,0
2020-07-31,21539,Lonaconing,Allegany County,0
2020-07-31,21540,Luke,Allegany County,0
2020-07-31,21541,Mc Henry,Garrett County,6
2020-07-31,21542,Midland,Allegany County,0
2020-07-31,21543,Midlothian,Allegany County,1
2020-07-31,21545,Mount Savage,Allegany County,1
2020-07-31,21550,Oakland,Garrett County,7
2020-07-31,21555,Oldtown,Allegany County,0
2020-07-31,21556,Pinto,Allegany County,0
2020-07-31,21557,Rawlings,Allegany County,0
2020-07-31,21560,Spring Gap,Allegany County,0
2020-07-31,21561,Swanton,Garrett County,5
2020-07-31,21562,Westernport,Allegany County,0
2020-07-31,21601,Easton,Talbot County,80
2020-07-31,21606,Easton,Talbot County,0
2020-07-31,21607,Barclay,Queen Anne's County,1
2020-07-31,21609,Bethlehem,Caroline County,0
2020-07-31,21610,Betterton,Kent County,1
2020-07-31,21612,Bozman,Talbot County,1
2020-07-31,21613,Cambridge,Dorchester County,35
2020-07-31,21617,Centreville,Queen Anne's County,30
2020-07-31,21619,Chester,Queen Anne's County,20
2020-07-31,21620,Chestertown,Kent County,48
2020-07-31,21622,Church Creek,Dorchester County,1
2020-07-31,21623,Church Hill,Queen Anne's County,10
2020-07-31,21624,Claiborne,Talbot County,1
2020-07-31,21625,Cordova,Talbot County,5
2020-07-31,21626,Crapo,Dorchester County,0
2020-07-31,21627,Crocheron,Dorchester County,0
2020-07-31,21628,Crumpton,Queen Anne's County,0
2020-07-31,21629,Denton,Caroline County,6
2020-07-31,21631,East New Market,Dorchester County,5
2020-07-31,21632,Federalsburg,Caroline County,2
2020-07-31,21634,Fishing Creek,Dorchester County,0
2020-07-31,21635,Galena,Kent County,4
2020-07-31,21636,Goldsboro,Caroline County,0
2020-07-31,21638,Grasonville,Queen Anne's County,18
2020-07-31,21639,Greensboro,Caroline County,1
2020-07-31,21640,Henderson,Caroline County,0
2020-07-31,21641,Hillsboro,Caroline County,0
2020-07-31,21643,Hurlock,Dorchester County,2
2020-07-31,21644,Ingleside,Queen Anne's County,0
2020-07-31,21645,Kennedyville,Kent County,1
2020-07-31,21647,Mcdaniel,Talbot County,1
2020-07-31,21648,Madison,Dorchester County,0
2020-07-31,21649,Marydel,Caroline County,2
2020-07-31,21650,Massey,Kent County,0
2020-07-31,21651,Millington,Kent County,3
2020-07-31,21652,Neavitt,Talbot County,1
2020-07-31,21653,Newcomb,Talbot County,0
2020-07-31,21654,Oxford,Talbot County,16
2020-07-31,21655,Preston,Caroline County,7
2020-07-31,21656,Price,Queen Anne's County,0
2020-07-31,21657,Queen Anne,Queen Anne's County,5
2020-07-31,21658,Queenstown,Queen Anne's County,17
2020-07-31,21659,Rhodesdale,Dorchester County,0
2020-07-31,21660,Ridgely,Caroline County,7
2020-07-31,21661,Rock Hall,Kent County,4
2020-07-31,21662,Royal Oak,Talbot County,7
2020-07-31,21663,Saint Michaels,Talbot County,25
2020-07-31,21664,Secretary,Dorchester County,2
2020-07-31,21665,Sherwood,Talbot County,0
2020-07-31,21666,Stevensville,Queen Anne's County,51
2020-07-31,21667,Still Pond,Kent County,1
2020-07-31,21668,Sudlersville,Queen Anne's County,0
2020-07-31,21669,Taylors Island,Dorchester County,0
2020-07-31,21670,Templeville,Caroline County,0
2020-07-31,21671,Tilghman,Talbot County,4
2020-07-31,21672,Toddville,Dorchester County,0
2020-07-31,21673,Trappe,Talbot County,10
2020-07-31,21675,Wingate,Dorchester County,0
2020-07-31,21676,Wittman,Talbot County,1
2020-07-31,21677,Woolford,Dorchester County,3
2020-07-31,21678,Worton,Kent County,0
2020-07-31,21679,Wye Mills,Talbot County,1
2020-07-31,21681,Ridgely,Caroline County,0
2020-07-31,21682,Ridgely,Caroline County,0
2020-07-31,21683,Ridgely,Caroline County,0
2020-07-31,21684,Ridgely,Caroline County,0
2020-07-31,21685,Ridgely,Caroline County,0
2020-07-31,21686,Ridgely,Caroline County,0
2020-07-31,21687,Ridgely,Caroline County,0
2020-07-31,21688,Ridgely,Caroline County,0
2020-07-31,21690,Chestertown,Queen Anne's County,0
2020-07-31,21701,Frederick,Frederick County,225
2020-07-31,21702,Frederick,Frederick County,151
2020-07-31,21703,Frederick,Frederick County,133
2020-07-31,21704,Frederick,Frederick County,201
2020-07-31,21705,Frederick,Frederick County,0
2020-07-31,21709,Frederick,Frederick County,0
2020-07-31,21710,Adamstown,Frederick County,35
2020-07-31,21711,Big Pool,Washington County,2
2020-07-31,21713,Boonsboro,Washington County,20
2020-07-31,21714,Braddock Heights,Frederick County,2
2020-07-31,21715,Brownsville,Washington County,0
2020-07-31,21716,Brunswick,Frederick County,33
2020-07-31,21717,Buckeystown,Frederick County,1
2020-07-31,21718,Burkittsville,Frederick County,2
2020-07-31,21719,Cascade,Washington County,2
2020-07-31,21720,Cavetown,Washington County,0
2020-07-31,21721,Chewsville,Washington County,0
2020-07-31,21722,Clear Spring,Washington County,7
2020-07-31,21723,Cooksville,Howard County,11
2020-07-31,21727,Emmitsburg,Frederick County,10
2020-07-31,21733,Fairplay,Washington County,1
2020-07-31,21734,Funkstown,Washington County,1
2020-07-31,21737,Glenelg,Howard County,52
2020-07-31,21738,Glenwood,Howard County,44
2020-07-31,21740,Hagerstown,Washington County,113
2020-07-31,21741,Hagerstown,Washington County,0
2020-07-31,21742,Hagerstown,Washington County,95
2020-07-31,21746,Hagerstown,Washington County,0
2020-07-31,21747,Hagerstown,Washington County,0
2020-07-31,21748,Hagerstown,Washington County,0
2020-07-31,21749,Hagerstown,Washington County,0
2020-07-31,21750,Hancock,Washington County,3
2020-07-31,21754,Ijamsville,Frederick County,78
2020-07-31,21755,Jefferson,Frederick County,23
2020-07-31,21756,Keedysville,Washington County,13
2020-07-31,21757,Keymar,Carroll County,3
2020-07-31,21758,Knoxville,Frederick County,13
2020-07-31,21759,Ladiesburg,Frederick County,0
2020-07-31,21762,Libertytown,Frederick County,4
2020-07-31,21765,Lisbon,Howard County,0
2020-07-31,21766,Little Orleans,Allegany County,1
2020-07-31,21767,Maugansville,Washington County,0
2020-07-31,21769,Middletown,Frederick County,95
2020-07-31,21770,Monrovia,Frederick County,58
2020-07-31,21771,Mount Airy,Frederick County,145
2020-07-31,21773,Myersville,Frederick County,27
2020-07-31,21774,New Market,Frederick County,142
2020-07-31,21775,New Midway,Frederick County,0
2020-07-31,21776,New Windsor,Carroll County,20
2020-07-31,21777,Point Of Rocks,Frederick County,12
2020-07-31,21778,Rocky Ridge,Frederick County,5
2020-07-31,21779,Rohrersville,Washington County,5
2020-07-31,21780,Sabillasville,Frederick County,4
2020-07-31,21781,Saint James,Washington County,0
2020-07-31,21782,Sharpsburg,Washington County,6
2020-07-31,21783,Smithsburg,Washington County,17
2020-07-31,21784,Sykesville,Carroll County,183
2020-07-31,21787,Taneytown,Carroll County,9
2020-07-31,21788,Thurmont,Frederick County,19
2020-07-31,21790,Tuscarora,Frederick County,1
2020-07-31,21791,Union Bridge,Carroll County,13
2020-07-31,21792,Unionville,Frederick County,0
2020-07-31,21793,Walkersville,Frederick County,36
2020-07-31,21794,West Friendship,Howard County,28
2020-07-31,21795,Williamsport,Washington County,9
