Zip_Code,City,County,Current_Actual_EV_Registrations,Current_Predicted_EV_Registrations,Predicted_EV_Registrations_1_Year,Predicted_EV_Registrations_3_Years,Predicted_EV_Registrations_5_Years,Charging_Station_Count,Current_Need_Score,Need_Score_1_Year,Need_Score_3_Years,Need_Score_5_Years
21028,Churchville,Harford County,73,75,104,215,382,0,75.0,104.0,215.0,382.0
21783,Smithsburg,Washington County,74,77,107,214,382,0,77.0,107.0,214.0,382.0
21795,Williamsport,Washington County,77,79,106,214,382,0,79.0,106.0,214.0,382.0
21532,Frostburg,Allegany County,80,82,108,219,380,0,82.0,108.0,219.0,380.0
20714,North Beach,Calvert County,78,81,108,219,380,0,81.0,108.0,219.0,380.0
20776,Harwood,Anne Arundel County,71,73,98,195,357,0,73.0,98.0,195.0,357.0
21911,Rising Sun,Cecil County,68,71,97,194,350,0,71.0,97.0,194.0,350.0
20676,Port Republic,Calvert County,73,73,102,201,350,0,73.0,102.0,201.0,350.0
21017,Belcamp,Harford County,66,66,93,187,347,0,66.0,93.0,187.0,347.0
21771,Mount Airy,Frederick County,811,811,931,1015,1015,2,270.3,310.3,338.3,338.3
20677,Port Tobacco,Charles County,58,62,87,181,332,0,62.0,87.0,181.0,332.0
21654,Oxford,Talbot County,63,67,90,187,332,0,67.0,90.0,187.0,332.0
21153,Stevenson,Baltimore County,60,61,84,169,323,0,61.0,84.0,169.0,323.0
20710,Bladensburg,Prince George's County,54,56,69,159,321,0,56.0,69.0,159.0,321.0
21658,Queenstown,Queen Anne's County,63,63,88,182,321,0,63.0,88.0,182.0,321.0
21053,Freeland,Baltimore County,58,60,78,158,309,0,60.0,78.0,158.0,309.0
21904,Port Deposit,Cecil County,62,63,88,176,309,0,63.0,88.0,176.0,309.0
21723,Cooksville,Howard County,63,64,90,176,309,0,64.0,90.0,176.0,309.0
20763,Savage,Howard County,61,65,88,176,309,0,65.0,88.0,176.0,309.0
21162,White Marsh,Baltimore County,139,141,206,353,615,1,70.5,103.0,176.5,307.5
20688,Solomons,Calvert County,58,59,75,153,291,0,59.0,75.0,153.0,291.0
21204,Towson,Baltimore County,645,663,816,1321,2241,7,82.9,102.0,165.1,280.1
21155,Upperco,Baltimore County,55,56,72,139,280,0,56.0,72.0,139.0,280.0
21212,Baltimore,Baltimore City,786,799,817,817,817,2,266.3,272.3,272.3,272.3
20778,West River,Anne Arundel County,57,58,73,140,266,0,58.0,73.0,140.0,266.0
21903,Perryville,Cecil County,51,51,69,140,264,0,51.0,69.0,140.0,264.0
21777,Point Of Rocks,Frederick County,53,52,69,138,264,0,52.0,69.0,138.0,264.0
21756,Keedysville,Washington County,54,54,69,140,264,0,54.0,69.0,140.0,264.0
21673,Trappe,Talbot County,52,50,65,133,264,0,50.0,65.0,133.0,264.0
21727,Emmitsburg,Frederick County,51,51,69,138,264,0,51.0,69.0,138.0,264.0
20764,Shady Side,Anne Arundel County,55,54,72,136,263,0,54.0,72.0,136.0,263.0
20623,Cheltenham,Prince George's County,56,56,62,136,260,0,56.0,62.0,136.0,260.0
21826,Fruitland,Wicomico County,51,55,65,133,259,0,55.0,65.0,133.0,259.0
20759,Fulton,Howard County,742,747,894,1015,1015,3,186.8,223.5,253.8,253.8
20733,Churchton,Anne Arundel County,51,55,67,130,252,0,55.0,67.0,130.0,252.0
20622,Charlotte Hall,Saint Mary's County,50,51,64,130,248,0,51.0,64.0,130.0,248.0
20689,Sunderland,Calvert County,46,48,63,121,236,0,48.0,63.0,121.0,236.0
20751,Deale,Anne Arundel County,47,46,61,115,230,0,46.0,61.0,115.0,230.0
21209,Baltimore,Baltimore City,827,831,890,885,885,3,207.8,222.5,221.2,221.2
20640,Indian Head,Charles County,141,144,205,354,621,2,48.0,68.3,118.0,207.0
21813,Bishopville,Worcester County,49,47,63,121,207,0,47.0,63.0,121.0,207.0
21217,Baltimore,Baltimore City,287,291,381,663,817,3,72.8,95.2,165.8,204.2
21240,Baltimore,Anne Arundel County,466,550,648,814,814,3,137.5,162.0,203.5,203.5
21842,Ocean City,Worcester County,202,203,201,201,201,0,203.0,201.0,201.0,201.0
21034,Darlington,Harford County,41,40,51,93,195,0,40.0,51.0,93.0,195.0
21853,Princess Anne,Somerset County,43,46,53,93,187,0,46.0,53.0,93.0,187.0
21782,Sharpsburg,Washington County,45,44,54,93,187,0,44.0,54.0,93.0,187.0
21919,Earleville,Cecil County,36,37,48,88,176,0,37.0,48.0,88.0,176.0
20675,Pomfret,Charles County,39,38,44,84,176,0,38.0,44.0,84.0,176.0
21915,Chesapeake City,Cecil County,38,40,49,88,176,0,40.0,49.0,88.0,176.0
21132,Pylesville,Harford County,33,36,50,88,175,0,36.0,50.0,88.0,175.0
